AJR,2021,227,011102,03,Unnamed: 5,237076,237076.1,EFFACRES-19035,E U S HY 290  TX 78621,N,ABS 345 SUR 53 HINES W ACR 19.036 (1-D-1) ,Unnamed: 12,Unnamed: 13,N.1,Unnamed: 15,Unnamed: 16,1FE2,Unnamed: 18,Unnamed: 19,Unnamed: 20,0,0.1,N.2,Unnamed: 24,1.000000,2021.1,1,19.036,1812256,D1,D1.1,621906,Unnamed: 33,621906.1,Unnamed: 35,Unnamed: 36,Unnamed: 37,N.3,N.4,N.5,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,N.6,N.7,N.8,Unnamed: 71,N.9,N.10,Unnamed: 74,Unnamed: 75,N.11,N.12,Unnamed: 78,Unnamed: 79,227.1,Unnamed: 81,Unnamed: 82,0.2,Unnamed: 84,Match_Reason
AJR,2021,227,011102,03,,832773,832773,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,6069,,,,,7643,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,011202,40,,832771,832771,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT L ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,9275,,,,,15010,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,011202,40,,832773,832773,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,3164,,,,,5064,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,011902,02,,832771,832771,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT L ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,9275,,,,,15010,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,011902,02,,832773,832773,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,6069,,,,,7643,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,227000,00,A,829188,829188,,5001 PLAZA ON THE LAKE 200 TX 78746,N,PERSONAL PROPERTY COMMERCIAL MAIN STREET RENEWAL LLC ,,,N,,,,,6531,653100,0,0,N,,1.000000,2021,4,.000,1574870,L1,L1,658742,,,,,838354,N,N,N,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: MAIN STREET RENEWAL
AJR,2021,227,227000,00,A,832750,832750,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,77962,,,,,74903,N,N,N,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,227000,00,A,832751,832751,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,5279,,,,,6843,N,N,N,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,227000,00,A,832752,832752,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,46956,,,,,54498,N,N,N,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
AJR,2021,227,227000,00,A,832753,832753,,VARIOUS LOCATIONS  TX,N,PERSONAL PROPERTY COMMERCIAL AMERICAN HOMES 4 RENT LP ,,,N,,,,,0001Z,00001Z,0,0,N,,1.000000,2021,4,.000,1581934,L1,L1,1155,,,,,3284,N,N,N,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,N,N,,,N,N,,,227,,,0,,Keyword: AMERICAN HOMES 4 RENT
