Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
100012    0202500000000,SOUTH LAMAR VENTURE LLC F000000000000,% BLACKROCK REALTY ADVISORS JENNIFER FREEDMAN 400 HOWARD ST SAN FRANCISCO CA 941052618 F,Y S LAMAR B,Keyword: BLACKROCK
192427    0202500000000,GUTHRIE PROPERTY OWNER LP F000000000000,C/O BLACKROCK REATY ADVISORS INC 50 HUDSON YARDS FL 8 NEW YORK NY 100012180 F,Y GONZALES S,Keyword: BLACKROCK
230568    0202500000000,CHALFANT REALTY ADVISORS LLC F000000000000,7912 CRANDALL RD AUSTIN TX 787391910 F,Y MCKIE C,Keyword: % REALTY ADVISORS
233162    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y COPPERMEAD L,Keyword: AMERICAN HOMES 4 RENT
280753    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y VALLEY GLEN R,Keyword: PROGRESS RESIDENTIAL
280826    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y BETTERMAN D,Keyword: AMERICAN HOMES 4 RENT
281121    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y GNU GAP,Keyword: AMERICAN HOMES 4 RENT
281173    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y JIGSAW PATHWAY,Keyword: AMERICAN HOMES 4 RENT
284000    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y FALLENASH D,Keyword: PROGRESS RESIDENTIAL
285801    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y VARRELMAN S,Keyword: AMERICAN HOMES 4 RENT
287161    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y PEVETOE S,Keyword: AMERICAN HOMES 4 RENT
294185    0202500000000,PROGRESS RESIDENTIAL BORROWER 20 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y SOUTH HEARSEY D,Keyword: PROGRESS RESIDENTIAL
376955    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y PERLITA D,Keyword: AMERICAN HOMES 4 RENT
377038    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y SEVILLE D,Keyword: AMERICAN HOMES 4 RENT
379606    0202500000000,PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y TORTOISE S,Keyword: PROGRESS RESIDENTIAL
379732    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y BUSHMILLS C,Keyword: PROGRESS RESIDENTIAL
379847    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y PICADILLY D,Keyword: AMERICAN HOMES 4 RENT
384596P    0202500000000,HILLTOP SECURITIES INC F000000000000,325 N ST PAUL ST DALLAS TX 75201 F,Y VIA FORTUNA,Mailing: 75201
402164P    0202500000000,PHOENIX HOUSES OF TEXAS INC F000000000000,PHOENIX ACADEMY 2301 N AKARD ST STE 301 DALLAS TX 75201 F,Y W LIVE OAK S,Mailing: 75201
428485    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y LIFFEY D,Keyword: AMERICAN HOMES 4 RENT
428592    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y BISHOPSGATE D,Keyword: PROGRESS RESIDENTIAL
430896    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y COATS C,Keyword: AMERICAN HOMES 4 RENT
445260    0202500000000,AH4R I TX LLC F000000000000,30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 F,Y GRENER C,Keyword: AH4R
445553    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y DERBY DAY A,Keyword: PROGRESS RESIDENTIAL
462977    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y VINCENT P,Keyword: AMERICAN HOMES 4 RENT
463073    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y SARAHS CREEK D,Keyword: PROGRESS RESIDENTIAL
463107    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y MISS ALLISONS W,Keyword: AH4R
482253    0202500000000,PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y BALMORHEA C,Keyword: PROGRESS RESIDENTIAL
506220    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y MISS ALLISONS W,Keyword: PROGRESS RESIDENTIAL
507214    0202500000000,AH4R I TX LLC F000000000000,SUITE 200 30601 AGOURA RD AGOURA HILLS CA 913012148 F,Y CANDELARIA MESA D,Keyword: AH4R
507638    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y SPEIDEL D,Keyword: AMERICAN HOMES 4 RENT
508252    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y MARBLE RIDGE D,Keyword: AMERICAN HOMES 4 RENT
528574    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y STEVENAGE D,Keyword: AMERICAN HOMES 4 RENT
529800    0202500000000,GONZALEZ JONATHAN MATTHEW & SUGELY F000000000000,2221 PLAINFIELD CT PFLUGERVILLE TX 786605083 F,Y PLAINFIELD C,Keyword: AMERICAN HOMES 4 RENT
530104    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y HIGHSMITH S,Keyword: AMERICAN HOMES 4 RENT
530109    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y HIGHSMITH S,Keyword: AMERICAN HOMES 4 RENT
530457    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y MATHRA D,Keyword: AMERICAN HOMES 4 RENT
530467    0202500000000,AH4R I TX LLC F000000000000,30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 F,Y MATHRA D,Keyword: AH4R
530743    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y VIZQUEL LOOP,Keyword: AMERICAN HOMES 4 RENT
530972    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ALYSHEBA D,Keyword: AMERICAN HOMES 4 RENT
530978    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ALYSHEBA D,Keyword: AMERICAN HOMES 4 RENT
536809P    0202500000000,SEPHORA USA INC F000000000000,ATTN: ACCOUNTING 350 MISSION ST #7 SAN FRANCISCO CA 94105 F,Y GREAT HILLS T,Mailing: 94105
546715    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y HAMILTON POINT C,Keyword: AMERICAN HOMES 4 RENT
548880    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y GREY CASTLE D,Keyword: AMERICAN HOMES 4 RENT
550989    0202500000000,PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y SAN CHISOLM D,Keyword: PROGRESS RESIDENTIAL
552428    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y EUDORA L,Keyword: PROGRESS RESIDENTIAL
552605    0202500000000,AH4R I TX LLC F000000000000,22917 PACIFIC COAST HWY STE 300 MALIBU CA 902656415 F,Y QUINTON D,Keyword: AH4R
567483    0202500000000,PROGRESS RESIDENTIAL BORROWER 24 LL F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y HUNGRY HORSE D,Keyword: PROGRESS RESIDENTIAL
568310    0202500000000,AH4R PROPERTIES TWO LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y GALLANT S,Keyword: AH4R
568748    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,STE 200-AM 280 PILOT RD LAS VEGAS NV 891193532 F,Y PRINCE PHILLIP W,Keyword: AMERICAN HOMES 4 RENT
571658    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y TAYLOR FALLS D,Keyword: PROGRESS RESIDENTIAL
572898    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y CROWNOVER S,Keyword: AMERICAN HOMES 4 RENT
573714    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y DOYAL D,Keyword: AMERICAN HOMES 4 RENT
576301    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y BRENTS ELM D,Keyword: AMERICAN HOMES 4 RENT
