Property_ID,First_Year_Institutional,Latest_Match_Reason,Latest_Owner,Years_Present
100012    0202500000000,,Keyword: BLACKROCK,nan,nan
100012 0202500000000,2025,Keyword: BLACKROCK REALTY ADVISORS,0000015183421219 SOUTH LAMAR VENTURE LLC F000000000000 % BLACKROCK REALTY ADVISORS JENNIFER FREEDMAN 400 HOWARD ST SAN FRANCISCO CA 941052618 FF,2025
1004484P    0202500000000,,Mailing: 94105,nan,nan
192427    0202500000000,,Keyword: BLACKROCK,nan,nan
192427 0202500000000,2025,Keyword: GUTHRIE PROPERTY OWNER,000001808199GUTHRIE PROPERTY OWNER LP F000000000000 C/O BLACKROCK REATY ADVISORS INC 50 HUDSON YARDS FL 8 NEW YORK NY 100012180 FF,2025
230568    0202500000000,,Keyword: % REALTY ADVISORS,nan,nan
233131 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
233162    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
279769 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280107 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280558 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280753    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
280753 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
280826    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
280826 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
281121    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
281121 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
281173    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
281173 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
282392 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
284000    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
284000 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
285769 0202500000000,2025,Keyword: AMH 2015,000001639309AMH 2015-1 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
285801    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
285801 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
285823 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
287161    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
294185    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
294185 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001947448PROGRESS RESIDENTIAL BORROWER 20 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
375518 0202500000000,2025,Keyword: AMH TX PROPERTIES,000001929820AMH TX PROPERTIES LP F000000000000 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
376955    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
376955 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
377038    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
379606    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
379606 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001956454PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
379732    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
379732 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
379847    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
379847 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
384596P    0202500000000,,Mailing: 75201,nan,nan
402164P    0202500000000,,Mailing: 75201,nan,nan
428299 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
428473 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
428485    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
428485 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
428592    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
